content,score,source,app,clean_review
"Having worst experience with unacademy.. For IIT JEE coaching, first advertisement told that only Rs. 5000 needed for subscription. After that it has asked Rs. 25000. But even after subscribing with Rs. 25000, I have been waiting without any batches to join classes.. Only few hindi classes are going.. but the student wants only English medium as he don't know hindi.. There is necessary support to ask when we will get our classes to join.. Even worst that we could not cancel the subscribtion.",1,PlayStore,Unacademy,having worst experience with unacademy for iit jee coaching first advertisement told that only rs  needed for subscription after that it has asked rs  but even after subscribing with rs  i have been waiting without any batches to join classes only few hindi classes are going but the student wants only english medium as he dont know hindi there is necessary support to ask when we will get our classes to join even worst that we could not cancel the subscribtion
"Don't waste your money here, just average content, easily found on YouTube (and maybe on telegram if you are good at searching). Note : I have taken the bank exams subscription.",2,PlayStore,Unacademy,dont waste your money here just average content easily found on youtube and maybe on telegram if you are good at searching note  i have taken the bank exams subscription
it is really very benefited,5,PlayStore,Unacademy,it is really very benefited
amazing platform for neet aspirations,5,PlayStore,Unacademy,amazing platform for neet aspirations
sometimes it's not open please fix it,1,PlayStore,Unacademy,sometimes its not open please fix it
"I am preparing for iit jee 2026, since i am enrolled in an offline coaching but still unacademy is best in some ways I have never experienced this quality of education on any other online platform, I am very glourious about unacademy, I would suerly prefer to join unacademy for your preparation, and also unacademy consistently tries to improve the student and make them standing on the gates of iit's and nit's. so unacademy thank you, and the last thing,Har 'W' ke niche 10 crore rupay nahi hote.",5,PlayStore,Unacademy,i am preparing for iit jee  since i am enrolled in an offline coaching but still unacademy is best in some ways i have never experienced this quality of education on any other online platform i am very glourious about unacademy i would suerly prefer to join unacademy for your preparation and also unacademy consistently tries to improve the student and make them standing on the gates of iits and nits so unacademy thank you and the last thinghar w ke niche  crore rupay nahi hote
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 better,5,PlayStore,Unacademy, better
all is good on unacademy....and their teachers 💕🌸,5,PlayStore,Unacademy,all is good on unacademyand their teachers 
Amazing sir before watching this i had lots of Questions related to CS now i fillings better,5,PlayStore,Unacademy,amazing sir before watching this i had lots of questions related to cs now i fillings better
"The course is good but the app is very bad, full of glitches. it takes too long to open.. please improve the app.",1,PlayStore,Unacademy,the course is good but the app is very bad full of glitches it takes too long to open please improve the app
this is nice 👍🙂 I am weak in many subjects it's help to improve,5,PlayStore,Unacademy,this is nice  i am weak in many subjects its help to improve
most fraud institute they are play education nd they does npt provide refund policy,1,PlayStore,Unacademy,most fraud institute they are play education nd they does npt provide refund policy
Great application for knowledge and experience Very good teachers and very good atmosphere of education,1,PlayStore,Unacademy,great application for knowledge and experience very good teachers and very good atmosphere of education
a extremely good app. but the video lags a lot ahd get stucked when the educator takes class on smart board. i dont know why but only the video stucks on when the class is taken on smartboard which somehow ruin the full day. please continue on pen tab only,3,PlayStore,Unacademy,a extremely good app but the video lags a lot ahd get stucked when the educator takes class on smart board i dont know why but only the video stucks on when the class is taken on smartboard which somehow ruin the full day please continue on pen tab only
"These app is very bad. In downloaded lecture I can't able to shape writting which are written by tools. Here teachers say ""if any student study from ppt then he/she can't able to feel the topic and all the concept will be forgotten with some days"" but the support the teaching way where teacher are sit on a chair and then write on tab and students will see the teachers in a very small frame(it is so problematic for phone using students). PW produce better results in online but they told opposite.",1,PlayStore,Unacademy,these app is very bad in downloaded lecture i cant able to shape writting which are written by tools here teachers say if any student study from ppt then heshe cant able to feel the topic and all the concept will be forgotten with some days but the support the teaching way where teacher are sit on a chair and then write on tab and students will see the teachers in a very small frameit is so problematic for phone using students pw produce better results in online but they told opposite
the reason is teaching and main reason is dhariya sandhyana mam,5,PlayStore,Unacademy,the reason is teaching and main reason is dhariya sandhyana mam
very bad offline,1,PlayStore,Unacademy,very bad offline
